25642:如果\从\另\一\角度\来\看\,\这\件\事\就\显得\很\可笑\.\

26063:斯\大\林\格\勒\战役\后\,\纳粹\德国\迅速\走向\灭亡\.\
#After the battle of Stalingrad,Nazi Germany drew on rapidly towards destruction.
Stalingrad 傈里 饶俊 唱摹 刀老篮 脚加窍霸 艰噶狼 辨肺 吧绢艾促.

26064:斯\坦\利\买\这\所\房子\先\付\了\六\千\元\作\定钱\.\
#Standley put down $6,000 on the house.
Standley 绰 捞 笼阑 荤绰单[ 刚历 6玫 盔狼 拌距陛阑 瘤阂沁促.

26065:司机\把\地图\放\在\驾驶\座\前\的\小\格子\里\.\
#The driver kept his maps in the glove compartment in the front of his car.
款傈荐绰 瘤档甫 款傈籍 菊狼 累篮 巩癌 加俊 滴菌促.

26066:司机\必须\承担\那\次\事故\的\部分\责任\.\
#A portion of the blame for the accident must be borne by the driver.
款傈荐绰 弊 锭 荤绊狼 何盒利牢 氓烙阑 廉具 茄促.

26067:司机\们\被\告诫\不要\进入\通过\市中心\的\道路\.\
#Drivers have been warned to avoid the roads through the city centre.
款傈荐甸篮 矫 吝缴狼 档肺甫 烹秦 柳涝秦辑绰 救等促绰 巴阑 版绊罐疽促.

26068:司机\猛\踩\刹车\,\乘客\们\被\摔\得\向前\倾跌\.\
#The driver jammed the brakes on and the passengers were thrown forward.
款傈荐啊 技霸 宏饭捞农甫 光酒辑, 铰按甸捞 菊栏肺 津妨 逞绢脸促.

26069:司机\突然\转向\,\以免\撞\倒\那个\小孩\.\
#The driver fell away to avoid knocking the child down.
弊 酒捞甫 摹瘤 臼扁 困秦辑 款傈荐绰 癌磊扁 规氢阑 官操菌促.

26070:司令员\命令\这个\团\拉\出去\准备\投入\战斗\.\
#The commander ordered the regiment to be drawn out for action.
荤飞包篮 捞 楷措俊霸 唱啊辑 傈捧俊 捧涝且 霖厚甫 窍档废 疙飞沁促.

26071:死\了\丈夫\的\母亲\把\两个\孩子\拉扯\大\了\.\
#The widowed mother reared up the two children.
巢祈捞 磷篮 绢赣聪绰 滴 酒捞甫 绊积胶反霸 虐奎促.

26072:四\尺\见方\的\桌子\有\十\六\平方\尺\的\面积\.\
#A table 4 feet square has an area of 16 square feet.
4乔飘狼 殴磊绰 16乞规乔飘狼 搁利阑 爱绰促.

26073:四\门\轿车\的\特点\是\外形\上\比较\长\,\比较\低\.\
#The four-door sedan goes in for the longer ,lower appearance.
巩捞 匙 俺牢 技窜狼 漂隆篮 寇屈惑栏肺 厚背利 辨绊, 厚背利 撤篮 巴捞促.

26074: Alice 四\年\前\去世\时\,\我\也\觉得\天\一下子\塌\下来\了\.\
#When Alice died four years ago,I felt the bottom had dropped out of my world,too.
Alice啊 4斥 傈俊 磷菌阑 锭, 唱 开矫 窍疵捞 窜锅俊 公呈廉郴府绰 巴父 鞍疽促.

26075:四\条\林\荫\大道\从\那\广场\向\四方\延伸\.\
#Four avenues radiate from the square.
匙 哎贰狼 啊肺荐辨篮 弊 堡厘栏肺何磐 荤规栏肺 桓绢乐促.

26076:似乎\并没有\多少\人\自称\已\完全\理解\那个\理论\.\
#There do not seem to be many people who pretend to a perfect understanding of that theory.
胶胶肺 捞固 弊 捞沸阑 肯傈洒 捞秦沁促绊 富窍绰 荤恩篮 腹瘤 臼篮 巴 鞍促.

26077:松\木\桌面\镶\有\一\层\桃花\心\木\的\装饰\薄板\.\
#The pine table top is overlaid with a mahogany veneer.
家唱公 氓惑 钎搁俊 付龋啊聪 厘侥 海聪绢魄阑 茄摸 竞奎促.

26078:送\人\上\月球\是否\浪费\金钱\,\是\可以\辩论\的\.\
#It could be argued that sending men to the moon is a waste of money.
荤恩阑 崔俊 焊郴绰 巴捞 捣阑 扯厚窍绰 巴牢瘤绰 函沸且 荐 乐绰 巴捞促.

26079:苏\跟\一\大批\各种各样\的\小伙子\乱\搞\男女\关系\.\
#Sue sleeps around an awful lot with all sorts of guys.
荐绰 腹篮 阿剧阿祸狼 仇甸苞 巢赤 包拌甫 窃何肺 爱绰促.

26080:苏\珊\和\我\是\同\龄\人\,\我们\是\同时\上学\读书\的\.\
#Susan is my contemporary; we were at school together.
荐儡苞 唱绰 悼癌郴扁捞促. 快府绰 悼矫俊 切背俊 甸绢啊辑 傍何沁促.

26081:苏\珊\看来\对\她的\工作\感到\厌倦\了\.\
#Susan looks browned off (with her work).
荐儡篮 弊赤狼 老俊 措秦辑 瘤败框阑 蠢尝绰 鞍酒 焊牢促.

26082:虽\目前\不\能\接受\你\方\发\盘\,\我们\会\留心\的\.\
#Although we cannot accept your offer at present,we shall bear it in mind.
厚废 瘤陛 寸脚螟狼 坷欺甫 罐酒甸老 荐 绝阑瘤扼档, 快府绰 林狼且 巴涝聪促.

26083:虽然\很\寒冷\,\他\却\没\穿\大衣\就\外出\.\
#though it was very cold,he went out without an overcoat.
厚废 概快 娩歹扼档, 弊绰 寇捧甫 涝绊 寇免窍瘤 臼疽促.

26084:虽然\价格\不断\上涨\,\但\我们\仍\给予\特别\折扣\.\
#The prices have been rising steadily,but we will make a special discount.
厚废 啊拜捞 何窜洒 坷弗促秦档, 快府绰 咯傈洒 漂喊 且牢阑 秦靛赋聪促.

26085:虽然\困难\重重\,\她\却\仍然\无忧无虑\地\干\下去\.\
#She continued blithely on in spite of all difficulties.
厚废 绢妨框捞 阜吝窍歹扼档, 弊赤绰 咯傈洒 酒公繁 捌沥绝捞 拌加 老秦唱埃促.

26086:虽然\年\过\八\十\,\他的\脚步\还是\很\稳\.\
#Though over eighty,he is still very steady on his legs.
厚废 唱捞啊 80捞 逞菌瘤父, 弊狼 惯八澜篮 咯傈洒 酒林 救沥登绢乐促.

26087:虽然\年纪\较\轻\,\但\R\o\s\s\大夫\经验\丰富\.\
#Though relatively young in years,Dr.Ross is long on experience.
厚废 唱捞啊 厚背利 绢府瘤父, 狼荤 Ross绰 版氰捞 浅何窍促.

26088:虽然\任务\艰巨\,\他们\还是\设法\及时\完成\.\
#Difficult though the task was,they managed to accomplish it in time.
厚废 烙公啊 绢菲绊 阜吝窍瘤父, 弊甸篮 咯傈洒 溜矫 肯己窍妨绊 茄促.

26089:虽然\是\逆风\,\他们\还是\及时\把\船\驶\到\了\对岸\.\
#Despite the adverse wind,they managed to put the boat across in time.
厚废 开浅捞菌瘤父, 弊甸篮 咯傈洒 溜矫 硅甫 嘎篮祈 秦救栏肺 隔疽促.

26090:虽然\是\乡下\少年\,\他的\见解\却\完全\城镇\化\.\
#Althouth a country lad,he was thoroughly townish in outlook.
厚废 矫榜 家斥捞瘤父, 弊狼 斑秦绰 肯傈洒 档矫利捞促.

26091:虽然\他\大\谈\帮助\人家\,\但\总\有些\言过其实\.\
#He was laying it on a bit,with all this talk of wanting to help people.
厚废 弊啊 荤恩甸阑 到摆促绊 龋攫沁瘤父, 亲惑 粱 荤角焊促 苞厘登菌促.

26092:虽然\他\脾气\暴躁\,\他\太太\却\能\轻易\地\对付\他\.\
#Though he's short-tempered,his wife manages him with ease.
厚废 弊狼 己龙捞 抄气窍瘤父, 弊狼 酒郴绰 奖霸 弊甫 措且 荐 乐促.

26093:虽然\他\态度\粗鲁\,\其实\他\心地\很\好\.\
#Although he has a gruff manner,he is really very kind.
厚废 弊狼 怕档啊 快厩胶反瘤父, 荤角篮 弊绰 付澜捞 酒林 亮促.

26094:虽然\天\在下\大雨\,\但\孩子们\还是\要\出去\.\
#Though it is raining hard,the children want to go out.
厚废 窍疵俊辑 奴 厚啊 郴府绊 乐瘤父, 酒捞甸篮 咯傈洒 唱啊妨绊 茄促.

26095:虽然\我\不\同意\,\但\我\佩服\你\经验\比\我\丰富\.\
#I don't agree but I bow to your greater experience.
厚废 唱绰 悼狼窍瘤 臼瘤父, 唱绰 呈狼 版氰捞 唱焊促 浅何窍促绰 巴俊 皑藕茄促.

26096:虽然\我们\用力\推\门\,\可\还是\推\不\开\.\
#The door simply wouldn't yield though we pushed up against it.
厚废 快府啊 局结 巩阑 剐菌瘤父, 咯傈洒 凯府瘤 臼绰促.

26097:虽然\我\认识\他\仅\几\年\,\他\却\是\我\最好\的\朋友\.\
#Although I have known him only a few years,yet he is my best friend.
厚废 唱绰 弊甫 窜瘤 割 斥 舅疽瘤父, 弊绰 唱狼 啊厘 亮篮 模备捞促.

26098:虽然\我\认为\他\可悲\,\但\我\还是\同情\他的\家人\.\
#Although I pity him,my sympathies are with his family.
厚废 唱绰 弊啊 阂街窍促绊 积阿窍瘤父, 唱绰 咯傈洒 弊狼 啊练甸阑 悼沥茄促.

26099:虽然\我\同情\你的\观点\,\但\我\不\能\接受\它\.\
#While I sympathize your point of view I cannot accept it.
厚废 唱绰 呈狼 包痢阑 悼沥窍瘤父, 唱绰 弊巴阑 罐酒甸老 荐 绝促.

26100:虽然\我\中文\读\了\三\年\了\,\但\我\还是\不会\说话\.\
#Though I have studied Chinese for three years,I can't speak it.
厚废 唱绰 吝惫绢甫 3斥埃 傍何沁瘤父, 唱绰 咯傈洒 富阑 且 荐 绝促.

26101:随\函复\上\第\.\.\.\号\询\价\单\,\请\报\F\O\B\价\.\
#We have pleasure in enclosing our inquiry No. ..against which you are request to make us an offer on FOB basis.
力 ..龋 炼雀辑甫 悼豪窍咯 靛府坷聪, FOB啊拜栏肺 烹焊秦林绞矫坷.

26102:随\函\附\寄\样本\两\册\,\报\价\单一\份\,\请\查收\.\
#Enclosed herewith please find two copies of our latest catalogue together with the price lists .
基敲 滴 鼻, 炼雀辑 茄 何甫 悼豪窍咯 何媚靛府聪, 炼荤窍咯 罐酒林矫扁 官而聪促.

26103:随\函\附上\出口\价格\及\交易\条件\全部\细节\.\
#Full details of our export prices and terms of business are enclosed with this letter.
荐免 啊拜 棺 背开 炼扒狼 傈眉 技何 荤亲阑 悼豪窍咯 何抹聪促.

26104:随\函\附上\简历\表\,\相片\及\自转\各\一\份\.\
#Enclosed please find a resume,a photo and an autobiography.
捞仿辑, 荤柳 棺 磊辑傈 阿 茄 何甫 悼豪窍咯 何抹聪促.

26105:随\信\寄\上\一\份\暂定\议事\的\日程\安排\供\参考\.\
#A copy of the provisional agenda in enclosed for your information.
曼绊窍矫档废 泪沥 狼矫 老沥 胶纳临阑 悼豪窍咯 焊忱聪促.

26106:随着\暴风雨\的\临近\,\天色\变\得\昏暗\起来\.\
#The sky turned dark as the storm came near.
气浅快啊 促啊咳俊 蝶扼辑 窍疵祸捞 绢滴况瘤扁 矫累沁促.

26107:随着\比赛\接近\结束\,\观众\越来越\激动\.\
#As the end of the game grew near,the crowd's excitement increased.
矫钦捞 付公府俊 崔窃俊 蝶扼辑 包吝甸篮 哎荐废 拜悼沁促.

26108:随着\病情\加重\,\他\变\得\语无伦次\了\.\
#He became incoherent as the disease got worse.
捍技啊 啊吝登搁辑 弊绰 富俊 炼府啊 绝绢脸促.

26109:随着\工厂\的\关闭\,\失业\现象\变\得\日益\严重\.\
#Unemployment became worse as factories closed.
傍厘捞 巩阑 摧澜俊 蝶扼辑, 角诀 泅惑捞 朝肺 缴阿秦脸促.

26110:随着\火\势\的\蔓\延\,\人们\成群\涌\出\楼房\.\
#As the fire spread,people came swarming out of the building.
阂 扁款捞 父楷凳俊 蝶扼辑, 荤恩甸篮 都甫瘤绢 茄波锅俊 扒拱阑 唱吭促.

26111:随着\考试\日期\的\逼近\,\他\心里\越来越\紧张\了\.\
#He got more and more nervous as the day of the examination neared.
矫氰 老磊啊 促啊咳俊 蝶扼辑, 弊狼 付澜篮 哎荐废 变厘秦脸促.

26112:随着\黎明\的\到来\,\天上\的\星星\渐渐\看\不见\了\.\
#With the coming of dawn,the stars faded out from the sky.
货寒捞 咳俊 蝶扼辑, 窍疵 困狼 喊甸篮 痢痢 焊捞瘤 臼霸 登菌促.

26113:随着\年岁\的\增长\,\人们\的\自我\认识\也\不断\加深\
#Knowledge of self increases as one gets older.
唱捞啊 疵绢皑俊 蝶扼辑, 荤恩甸狼 磊酒 牢侥档 何窜洒 缴拳等促.

26114:随着\时间\过去\,\激动\的\心情\逐渐\平静\下来\.\
#The excitement died down at time went by.
矫埃捞 瘤唱皑俊 蝶扼辑, 拜悼窍绰 付澜档 痢瞒 乞沥秦脸促.

26115:随着\岁月\的\消逝\,\我的\热情\逐渐\减退\了\.\
#With the passing of years my enthusiasm waned.
技岿捞 瘤唱皑俊 蝶扼辑, 唱狼 凯沥篮 痢瞒 侥绢脸促.

26116:随着\太阳\的\升高\,\天气\越来越\热\了\.\
#It became hotter as the sun climbed in the sky.
怕剧捞 臭酒咙俊 蝶扼辑, 朝揪啊 哎荐废 哆芭况脸促.

26117:随着\耶\诞\节\的\迫近\,\天气\越来越\寒冷\.\
#With the approach of Christmas the weather turned colder.
己藕例捞 促啊咳俊 蝶扼辑, 朝揪啊 哎荐废 眠况柳促.

26118:随着\勇气\的\消失\,\他的\声音\也\变\得\低弱\了\.\
#His voice tailed off as his courage failed.
侩扁啊 绝绢咙俊 蝶扼辑, 弊狼 格家府档 撤酒瘤绊 距秦脸促.

26119:索\赔\的\第\一\步骤\是\需要\阁下\填\妥\附上\的\表格\.\
#As a first step will you please make your claim on the enclosed form.
努饭烙狼 霉 窜拌绰 蓖窍啊 悼豪茄 钎甫 肋 累己窍绰 巴阑 鞘夸肺 钦聪促.

26120:所得税\是\根据\你\收入\多少\按\比例\征收\的\.\
#Income tax is scaled according to how much you earn.
家垫技绰 寸脚捞 倔付甫 荐涝窍绰 瘤俊 辟芭秦辑 厚肥俊 蝶扼辑 隆荐窍绰 巴涝聪促.

26121:所\列\价格\或\其他\项目\我\公司\均\不\承担\义务\.\
#We have no obligations whatsoever in respect of the price,and other particulars.
凯芭等 啊拜 趣篮 扁鸥 亲格篮 快府 雀荤啊 葛滴 狼公甫 瘤瘤 臼嚼聪促.

26122:所以\我\请求\将\入学\时间\推迟\到\1\9\9\2\年\春\.\
#It is therefore requested that you extend my admission to Spring 1992.
弊贰辑 唱绰 涝切 矫埃阑 1992斥 航鳖瘤 楷扁且 巴阑 没备钦聪促.

26123:所\应\支付\的\佣\金\必须\按\月\寄\给\代理人\.\
#Commissions due shall be paid monthly to the representative.
瘤阂秦具 窍绰 目固记篮 馆靛矫 概岿 措府牢俊霸 何媚具 钦聪促.

26124:所有\的\报纸\都\没有\刊登\那\一\则\消息\.\
#All the newspapers suppressed the news.
葛电 脚巩篮 促 弊 家侥阑 狡瘤 臼疽促.

26125:所有\的\订货\包括\你\方\的\订货\都\已\制成\待\运\.\
#All orders,including your own,have already been made up and are now awaiting despatch.
寸脚 螟狼 林巩 拱前阑 器窃茄 葛电 林巩 拱前篮 葛滴 捞固 力炼登绢 急利阑 扁促府绊 乐嚼聪促.

26126:所有\的\军官\都\在\军\便帽\的\左边\戴\上\阶级\徽\章\.\
#All officers wear grade insignia on the left side of garrisoncaps.
葛电 焙包甸篮 葛滴 海饭葛 哭率俊 拌鞭厘阑 崔酒具 钦聪促.

26127:所有\的\女孩子\都\喜欢\她们\新来的\英语\女\教师\.\
#All the girls like their new English mistress.
葛电 咯磊 酒捞甸篮 葛滴 弊赤甸狼 货肺 坷脚 康绢 咯磊 急积丛阑 亮酒茄促.

26128:所有\的\项目\都\讨论\了\,\除了\最后\一\项\.\
#All the items were discussed exclusive of the last one.
付瘤阜 茄 亲格阑 哗绊, 葛电 亲格捞 促 配沸登菌促.

26129:所有\电磁波\都\以\光速\传播\但\频率\却\各有不同\.\
#All electromagnetic waves travel with the speed of light,but all have different frequencies.
葛电 傈磊颇绰 促 堡加栏肺 傈颇窍瘤父, 林颇荐绰 葛滴 促福促.

26130:所有\反对\哈\维\的\人\都\竭力\损\毁\他的\名誉\.\
#All who opposed Harvey did all they could to pluck him down.
Harvey 俊 馆措窍绰 葛电 荤恩甸篮 促 局结 弊狼 疙抗甫 妊颊矫淖促.

26131:所有\飞机\上\的\人\,\包括\驾驶员\在内\,\全部\丧\生\.\
#All on the plane were lost,including the pilot.
厚青荤甫 器窃茄 厚青扁 困狼 葛电 荤恩甸篮 傈何 荤噶沁促.

26132:所有\工厂\的\工人\都\罢工\,\声援\被\解雇\的\工人\.\
#Workers in all the factories are coming out in support of the dismissed men.
葛电 傍厘狼 畴悼磊甸篮 促 颇诀秦辑, 秦绊等 畴悼磊甫 己盔沁促.

26133:所有\货物\均\用\木\箱\装运\,\内\放\避\震\材料\.\
#All goods will be packed in wooden cases with shock-proof materials inside.
葛电 拳拱篮 促 唱公 惑磊肺 急利窍哥 救俊绰 规柳 犁丰甫 持绰促.

26134:所有\邻国\都\必须\改变\他们的\施\政\基本\原则\.\
#All neighbor states...must revise...their policy fundaments..
葛电 捞眶 唱扼甸篮 促 弊甸狼 矫沥 扁夯 盔蘑阑 函拳矫难具 茄促.

26135:所有\这些\城市\都\在\几\小时\内\可以\到达\.\
#All these cities are reachable in a few hours.
葛电 捞 档矫甸篮 促 割 矫埃 郴俊 档馒且 荐 乐阑 巴捞促.

26136:所有\这些\工厂\都\在\为\生产\新\设备\而\共同\努力\.\
#All these factories are pulling together for the production of the new equipment.
葛电 捞 傍厘甸篮 促 货肺款 汲厚甫 积魂窍扁 困秦辑 傍悼栏肺 畴仿窍绊 乐促.

26137:所有\这些\旧货\卖\给\你\,\你\给\多少\钱\?\
#What will you pay me for all this old junk?
葛电 捞 吝绊前甸阑 呈俊霸 颇绰单, 呈绰 倔付甫 临贰?

26138:所有\这些\老\问题\都\应该\重新\提出\讨论\.\
#All these old problems should be hashed over.
葛电 捞 嘲篮 巩力甸篮 促 促矫 配沸阑 力扁秦具 茄促.

26139:所有\这些\删\节\文字\必须\重新\进去\.\
#All these deletions must be reinserted.
葛电 捞 哗滚赴 巩磊甸篮 促矫 持绢具 茄促.

26140:所有\这些\事情\的\相互\配合\促使\这\件\工作\成功\.\
#All these things cooperate,cooperated to make this work a success.
葛电 捞 老甸狼 惑龋 硅钦篮 捞 老阑 己傍窍档废 且 巴捞促.

26141:所有\这些\事情\都\迫切\需要\作出\细致\的\计划\.\
#All these things cry out for careful planning.
葛电 捞 老甸篮 促 技剐茄 拌裙阑 技快绰 巴阑 埃例洒 夸备茄促.

26142:他\着\述\奇异\的\景象\,\出神\地\伫立\在\那\
#He stood entranced at the wonderful sight.
弊绰 捞惑茄 堡版阑 焊绊 沥脚捞 唱埃 淀 芭扁俊 坷阀悼救 辑 乐菌促.

26143:他\爱好\戏剧\T\a\s\t\e\s\d\i\f\f\e\r\.\人\各有所好\.\
#He has a taste for the theater.
弊绰 楷必 Tastesdiffer甫 亮酒茄促. 荤恩篮 阿磊啊 亮酒窍绰 官啊 乐促.

26144:他\按捺不住\,\大发\脾气\;\过后\又\感到\懊悔\.\
#His temper ran away with him and later he regretted what he did.
弊绰 曼阑 荐 绝绢辑 农霸 拳甫 陈促.; 炼陛 饶俊 肚 饶雀沁促.

26145:他\把\背\转\过来\避开\她\;\他\不理\睬\她\.\
#He turned away from her.
弊绰 殿阑 倒妨辑 弊赤甫 乔沁促. ; 弊绰 弊赤甫 芭甸栋焊瘤 臼疽促.

26146:他\把\大部分\的\馀\暇\都\有\于\翻译\那些\作品\.\
#Most of his spare time was devoted to the translation of those works.
弊绰 措何盒狼 咯啊甫 促 弊 累前甸阑 锅开窍绰 单 焊辰促.

26147:他\把\到\了\嘴\边\的\一\句\尖刻\的\话\咽\了\下去\.\
#He choked back a sharp reply,
弊绰 涝俊 干档绰 朝墨肺款 茄 付叼狼 富阑 伙淖促.

26148:他\把\地图\举\高\以便\让\人\看\得\更\清楚\些\.\
#He held up the map so it could be seen more clearly.
弊绰 荤恩甸捞 粱 歹 沥犬窍霸 杭 荐 乐档废 瘤档甫 臭捞 吧菌促.

26149:他\把\碟子\洗\好\后\,\放\在\盘\碟\架\上\滴\干\.\
#He washed the dishes and put them in the plate rack to dry.
弊绰 立矫甫 肋 灸篮 饶俊, 弊俯 急馆 困俊 滴绊 富啡促.

26150:他\把\吩咐\的\事\全部\做\完\以\博得\主人\的\欢心\.\
#He tried to satisfy his master by doing all he had been ordered to do.
弊绰 林牢狼 券缴阑 掘扁 困秦辑 盒何茄 老阑 傈何 促沁促.

26151:他\把\顾问\的\若干\建议\纳入\他的\计\画\.\
#He integrated his advisor's suggestions into his plan.
弊绰 绊巩狼 割割 扒狼甫 弊狼 拌裙俊 罐酒甸看促.

26152:他\把\孩子们\打发\出去\,\以便\使\屋\里\安静\一些\.\
#He sent the children out so that the house might be quiet.
弊绰 笼 救阑 粱 炼侩洒 窍扁 困秦辑 酒捞甸阑 郴焊陈促.

26153:他\把\几\个\口袋\里\的\东西\都\掏\出来\放\在\桌\上\.\
#He emptied out all his pockets onto the table.
弊绰 割 俺狼 林赣聪 加狼 拱扒阑 促 波郴辑 殴磊 困俊 滴菌促.

26154:他\把\金属\板\上\的\一些\凹\痕\敲\掉\或\敲\平\了\.\
#He hammered out the dents in the metal sheet.
弊绰 陛加魄 困狼 割割 菩牢 如利阑 滴靛妨滚府芭唱 滴靛妨 祈乞窍霸 沁促.

26155:他\把酒\溅\在\地毯\上\,\但\没有\造成\损害\.\
#He spilled wine on the carpet but there was no harm done.
弊绰 贱阑 墨其飘 困俊 峻龙范瘤父, 颊惑阑 具扁窍瘤蠢 臼疽促.

26156:他\把\旧\砖\一点\一点\地\凿\掉\,\再\换\上\块\新\砖\.\
#He chipped away the old brick and replaced it with a new one.
弊绰 烤 寒倒阑 窍唱窍唱 颇郴 滚府绊, 促矫 货肺款 寒倒阑 官操绢 持菌促.

26157:他\把\没有\人\注意\他\看作\是\对\他\怠慢\.\
#He took it as a slight when nobody noticed him.
弊绰 酒公档 弊甫 林狼窍瘤 臼绰 巴阑 弊俊霸 怕父茄 巴捞扼绊 咯板促.

26158:他\把\名单\向\我\再\念\一遍\,\我\一一\进行\核对\.\
#He read back the list of names to me ,and I checked them off one by one, .
弊绰 疙窜阑 唱俊霸 促矫 茄锅 佬绢林菌绊, 唱绰 老老捞 八配 措炼窍看促.

26159:他\把\那\笔\意外\的\收入\用\於\偿\付\抵押\.\
#He applied the windfall to payment of his mortgage.
弊绰 弊 狼寇狼 荐涝阑 历寸阑 氨绰 单 借促.

26160:他\把\那\房屋\以\每月\一\百\英镑\的\租金\租\给\我们\.\
#He rented the house to us at 100 a month.
弊绰 弊 笼阑 概 岿 100颇款狼 笼技肺 快府俊霸 技林菌促.

26161:他\把\那个\概念\具体\地表\现在\他的\绘画\中\.\
#He embodied the idea in his painting.
弊绰 弊 俺充阑 弊狼 弊覆 加俊 备眉利栏肺 钎泅沁促.

26162:他\把\那\块\木板\锯\去\一端\,\弄\成\正方形\.\
#He squared off the end of the piece of wood.
弊绰 弊 格魄阑 茄 场阑 砰龙秦辑 沥规屈栏肺 父甸菌促.

26163:他\把\农\地\再\分\为\若干\块\的\建筑\用\地\.\
#He subdivided the farm into building lots.
弊绰 丑瘤甫 促矫 距埃狼 扒绵 侩瘤肺 唱穿菌促.

26164:他\把\汽车\退\开\,\使\我们\能\进入\大门\.\
#He backed the car away so that we could get into the gate.
弊绰 快府啊 措巩栏肺 甸绢哎 荐 乐档废 磊悼瞒甫 饶柳沁促.

26165:他\把\钱\都\放\在家里\,\因\他\对\银行\极\不\信任\.\
#He keeps his money at home because he has a great mistrust of banks.
弊绰 捣阑 促 笼俊 滴菌促. 恐衬窍搁 弊绰 篮青俊 措秦 措窜洒 阂脚窍扁 锭巩捞促.

26166:他\把\钱\撂\在\柜台\上\,\叫\再\给\他\些\啤酒\.\
#he planked the money down on the counter and asked for more beer.
弊绰 捣阑 墨款磐 困俊 初绊 促矫 弊俊霸 钙林甫 粱 矫淖促.

26167:他\把\钱\押\在\那\匹\最\有\希望\获胜\的\马上\.\
#His money is riding on the favorite.
弊绰 捣阑 弊 啊厘 捞辨 啊瓷己捞 乐绰 富俊 吧菌促.

26168:他\把\球\衫\裤\往\长\凳\上\一\放\就\到\淋浴\室\去\了\.\
#He laid off his sweat suit on a bench and went into the shower room.
弊绰 款悼汗阑 变 狼磊俊 滴磊付磊 垮角肺 甸绢艾促.

26169:他\把\时间\一半\花\在\工作\上\,\一半\用\於\娱乐\.\
#He divided his time evenly between work and play.
弊绰 矫埃狼 馆阑 老俊 静绊, 馆篮 坷遏俊 敬促.

26170:他\把\事故\告诉\他们\时\脸色\十分\严肃\.\
#His face was grave as he told them about the accident.
弊啊 荤绊甫 弊甸俊霸 舅妨临 锭, 倔奔蝴捞 概快 决槛沁促.

26171:他\把手\伸\进\袋\里\,\取出\一\把\小麦\样品\.\
#He dipped into the bag and brought out a handful of sample wheat.
弊绰 颊阑 磊风 加俊 笼绢 持绢, 剐 基敲阑 波陈促.

26172:他\把手\伸\进\口袋\掏\出\钱\来\为\朋友\们\买\饮料\.\
#He dipped into his pocket and bought drinks for his friends.
弊绰 颊阑 林赣聪 加俊 笼绢 持绢 捣阑 波郴辑 模备甸阑 困秦辑 澜丰甫 或促.

26173:他\把\书包\成\一\包\,\邮寄\给\他的\朋友\.\
#He made up the books into a parcel and sent it to his friend by mail.
弊绰 氓器厘阑 窍唱 秦辑 弊狼 模备俊霸 快祈栏肺 何闷促.

26174:他\把\书本\放\在\一边\,\专心\地\听\起来\.\
#He laid his book aside to listen.
弊绰 氓阑 茄 率俊 滴绊 柯 付澜阑 促 扁匡咯辑 甸菌促.

26175:他\把\书\页\的\一角\折\一下\以便\找到\读\过\的\地方\.\
#He turned the corner of the page down so that he could find his place.
弊绰 佬菌带 镑阑 茫扁 奖档废 氓 其捞瘤狼 茄 率阑 茄 锅 立菌促.

26176:他\把\双\筒\远\镜\的\焦点\对准\在\那\只\鸟\上\.\
#He focused his binoculars on the bird.
弊绰 街救版狼 檬痢阑 弊 货俊 炼霖沁促.

26177:他\把\水桶\倒\空\以\清\掉\桶\底\的\沉淀\物\.\
#He emptied out the water barrel to clear it of sediment.
弊绰 烹 官蹿狼 魔傈拱阑 眉芭秦 滚府扁 困秦辑 荐烹阑 促 今疽促.

26178:他\把\所有\的\财产\孤注一掷\地\投资\到\事业\上去\.\
#He ventured all his wealth on the enterprise.
弊绰 葛电 犁魂阑 吧绊 弥饶狼 铰何甫 窍淀捞 荤诀俊 捧磊沁促.

26179:他\把\他\从\那\本\杂志\上\剪\下\的\图片\给\我\看\.\
#He showed me the pictures he had cut out of the magazine.
弊绰 弊啊 弊 棱瘤俊辑 坷妨辰 荤柳阑 唱俊霸 焊咯林菌促.

26180:他\把\他的\家世\追溯\到\十\五\世纪\前\後\.\
#He traces his family back to about the fifteenth century.
弊绰 弊狼 啊巩阑 15技扁 傈饶鳖瘤 芭浇矾 棵扼艾促.

26181:他\把\他的\马\放\在\城\里\唯一\的\马厩\中\过夜\.\
#He put up his horse for the night at the only stable in town.
弊绰 弊狼 富阑 档矫 救狼 蜡老茄 付甭埃俊 滴绢 广阑 瘤郴霸 沁促.

26182:他\把\他的\名片\给\我\,\以\此\来\作\自我\介绍\.\
#By way of introducing himself he showed me his card.
弊绰 捞犯霸 磊脚阑 家俺窍扁 困秦辑 弊狼 疙窃阑 唱俊霸 林菌促.

26183:他\把\他的\一\本\签\过\名\的\书\赠送\给\我\.\
#He presented a signed copy of his book tome.
弊绰 弊狼 辑疙茄 氓 茄 鼻阑 唱俊霸 刘沥沁促.

26184:他\把\他\以往\的\经历\加添\了\浪漫\色彩\.\
#He romanticizes his past.
弊绰 弊狼 捞傈狼 版仿俊 扯父利 祸盲甫 歹沁促.

26185:他\把\她的\手指\跟\自己的\交叉\在一起\.\
#He laced her fingers in his.
弊绰 弊赤狼 颊啊遏阑 磊脚狼 巴苞 窃膊 背瞒沁促.

